url_length,dot_count,hyphen_count,slash_count,at_sign_present,double_slash_in_path,ip_address_present,digit_count,digit_ratio,url_entropy,token_count,has_port,has_https,query_length,path_length,subdomain_count,subdomain_length,tld_length,registered_domain_length,path_depth,is_uk_tld,is_suspicious_tld,is_com_tld,contains_bank_brand,brand_count,brand_domain_mismatch,suspicious_path_keyword,url,label
26.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.132944044980959,4.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,14.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,https://www.alfiebanks.com,1
40.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.2439427079182686,4.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,28.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,https://www.investmentbankingcouncil.org,1
56.0,3.0,0.0,7.0,0.0,0.0,0.0,17.0,0.30357142857142855,4.523138012041646,10.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,http://35.192.38.184/commonwealth_bank/220425/1/website/,0
126.0,3.0,2.0,3.0,0.0,0.0,0.0,5.0,0.03968253968253968,4.597181509856939,24.0,0.0,1.0,0.0,94.0,1.0,8.0,3.0,15.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,https://dnbauth2.firebaseapp.com/identity-login&dt&dt=dnb-bankfraatil&en=page_view&_fv=1&_nsi=1&_ss=1&_ee=1&ep.origin=firebase,0
105.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,4.1811393692236765,11.0,0.0,0.0,0.0,78.0,0.0,0.0,3.0,20.0,6.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,http://steveconleysales.com/interac/directing/scotiabank/online/authentication/scotiabank-bankingweb.html,0
186.0,5.0,2.0,3.0,0.0,0.0,0.0,43.0,0.23118279569892472,4.994977104879259,18.0,0.0,1.0,119.0,130.0,2.0,18.0,6.0,29.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,https://paypal-support.com.desenvolvedortheosbank.com.br/login.php?cmd=_account-details&amp;session=22c8c9486a0bdf70538d330e7849394f&amp;dispatch=ff72f7fcd56d6ef698865adefdef21b664bc886c,0
25.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.5590795706241747,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,17.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,http://albaraka-bank.net/,0
30.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.031401845392172,4.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,18.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,https://www.theasianbanker.com,1
31.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.744203568311813,5.0,0.0,1.0,0.0,1.0,1.0,14.0,3.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,https://postbank-konto.web.app/,0
183.0,8.0,2.0,3.0,0.0,0.0,0.0,80.0,0.4371584699453552,4.702163463543308,14.0,0.0,0.0,0.0,183.0,5.0,135.0,6.0,25.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,natwest.co.uk-login-0af7806a38a1ba9d9cbac36ad9aeda70e1c.0d0146638fd6ae870e1c044a7512891471270af7806a23.a7512891471270af7807512891471270.bundabergsdachurch.org.au/Nat/newnat/index.html,0
