url_length,dot_count,hyphen_count,slash_count,at_sign_present,double_slash_in_path,ip_address_present,digit_count,digit_ratio,url_entropy,token_count,has_port,has_https,query_length,path_length,subdomain_count,subdomain_length,tld_length,registered_domain_length,path_depth,is_uk_tld,is_suspicious_tld,is_com_tld,contains_bank_brand,brand_count,brand_domain_mismatch,suspicious_path_keyword,url,label
28.0,3.0,0.0,3.0,0.0,0.0,0.0,15.0,0.5357142857142857,3.655045546825804,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://123.4.204.213:44887/i,0
25.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.623465189601647,4.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://www.dipticapp.com,1
33.0,4.0,0.0,3.0,0.0,0.0,0.0,15.0,0.45454545454545453,3.8848588918890474,8.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://59.89.237.249:59275/bin.sh,0
27.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.856196298219379,4.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://www.focusmaster.com,1
24.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.8868421881310113,4.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.modelclub.me,1
30.0,4.0,0.0,3.0,0.0,0.0,0.0,10.0,0.3333333333333333,3.923231428797621,7.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://210.56.13.114/never.hta,0
30.0,3.0,0.0,3.0,0.0,0.0,0.0,17.0,0.5666666666666667,3.739572261986723,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://105.154.208.140:35260/i,0
28.0,3.0,0.0,3.0,0.0,0.0,0.0,15.0,0.5357142857142857,3.610577243331642,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://221.15.86.150:59951/i,0
33.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.222593650305007,4.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,http://www.labkitsforstudents.com,0
43.0,2.0,2.0,3.0,0.0,0.0,0.0,4.0,0.09302325581395349,4.303830742923251,6.0,0.0,1.0,0.0,1.0,1.0,23.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://apps-cunfirm-ownear2023.start.page/,0
32.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.8431390622295662,4.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,http://www.christopherholder.com,0
45.0,2.0,3.0,3.0,0.0,0.0,0.0,12.0,0.26666666666666666,4.280090318263435,7.0,0.0,1.0,0.0,1.0,1.0,21.0,3.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://my-site-106219-106996.weeblysite.com/,0
30.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.1898980954642875,4.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.openmediavault.org,1
35.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.071581588126284,4.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://www.bijouterieguyserres.com,1
34.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.9398290174664017,4.0,0.0,0.0,0.0,34.0,1.0,3.0,3.0,25.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,www.scarboroughmechanical.com/irs/,0
28.0,3.0,0.0,3.0,0.0,0.0,0.0,15.0,0.5357142857142857,3.842370993177109,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://81.214.36.157:34480/i,0
23.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.708132064658601,4.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://www.aavalar.com,1
63.0,4.0,0.0,4.0,0.0,0.0,0.0,7.0,0.1111111111111111,4.774511074121864,9.0,0.0,0.0,0.0,36.0,1.0,5.0,6.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://files.veritas.org.ng/yuop/66df15b8b2c4b_omnitracking.exe,0
31.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.018081793978686,4.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://www.freedomstencils.com,1
27.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.9121138909722286,4.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.alexshapiro.org,1
49.0,3.0,0.0,4.0,0.0,0.0,0.0,10.0,0.20408163265306123,4.532678211285537,7.0,0.0,0.0,0.0,21.0,1.0,5.0,3.0,15.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,http://proxy.siteterbaru.xyz/css/0a839761915d.exe,0
27.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.032303242743952,5.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,http://www.krezol-group.com,0
31.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.925992988421481,4.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://www.weallgrowlatina.com,1
24.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.438721875540867,4.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://www.cosworth.com,1
33.0,4.0,0.0,3.0,0.0,0.0,0.0,15.0,0.45454545454545453,4.066677073707229,8.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://115.63.52.190:47465/bin.sh,0
26.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.8150724101159432,4.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://www.seedinvest.com,1
34.0,4.0,0.0,3.0,0.0,0.0,0.0,16.0,0.47058823529411764,3.785561002824151,8.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://117.211.234.60:42222/bin.sh,0
29.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.7883413396567485,4.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.staatsanzeiger.de,1
22.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.7544418457133455,4.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://www.neueve.com,1
74.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,4.288128156105635,10.0,0.0,1.0,0.0,32.0,1.0,18.0,2.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://dev-pubgproservice.pantheonsite.io/wp-content/plugins/z-downloads/,0
